track_id,song_id,artist_id,artist_name,song_title,genre,dot1_artist,dot1_song,dot1_genre,dot1_score,dot2_artist,dot2_song,dot2_genre,dot2_score,dot3_artist,dot3_song,dot3_genre,dot3_score,centered1_artist,centered1_song,centered1_genre,centered1_score,centered2_artist,centered2_song,centered2_genre,centered2_score,centered3_artist,centered3_song,centered3_genre,centered3_score,corr1_artist,corr1_song,corr1_genre,corr1_score,corr2_artist,corr2_song,corr2_genre,corr2_score,corr3_artist,corr3_song,corr3_genre,corr3_score,cos1_artist,cos1_song,cos1_genre,cos1_score,cos2_artist,cos2_song,cos2_genre,cos2_score,cos3_artist,cos3_song,cos3_genre,cos3_score
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,Lauryn Hill,Interlude 5,r&b/soul,3570.0,Twista,I'm A Winner (Amended Album Version),hip hop,2865.0,Katy Perry,Hot N Cold (Innerpartysystem Main),electronic,2436.0,Lauryn Hill,Interlude 5,r&b/soul,3310.559999999999,Twista,I'm A Winner (Amended Album Version),hip hop,2695.4475000000007,Katy Perry,Hot N Cold (Innerpartysystem Main),electronic,2364.6187500000083,Tony Bennett,You're All The World To Me,jazz,0.7336968310393809,Patricia Barber,You're The Top,jazz,0.7271838626050462,Husker Du,You're A Soldier,rock,0.6887269177639563,Tony Bennett,You're All The World To Me,jazz,0.73913808345401,Patricia Barber,You're The Top,jazz,0.7316274421252662,Husker Du,You're A Soldier,rock,0.694669413787504
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3132.0,Lauryn Hill,Interlude 5,r&b/soul,3012.0,R. Kelly,I Mean (I Don't Mean It),r&b/soul,2988.0,R. Kelly,I Mean (I Don't Mean It),r&b/soul,2804.214999999992,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2768.8549999999973,Eminem,8 Mile,hip hop,2689.945000000007,Naked Aggression,Plastic World,punk,0.6568703206763483,Ozma,The Ups And Downs,rock,0.6411269509265006,Sage Francis,Keep Moving,hip hop,0.6134740359507673,Naked Aggression,Plastic World,punk,0.6692922727596603,Ozma,The Ups And Downs,rock,0.6557604034160445,Sage Francis,Keep Moving,hip hop,0.6349611011001333
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,Lauryn Hill,Interlude 5,r&b/soul,4597.0,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3722.0,Twista,I'm A Winner (Amended Album Version),hip hop,3671.0,Lauryn Hill,Interlude 5,r&b/soul,4262.119999999999,Twista,I'm A Winner (Amended Album Version),hip hop,3452.144999999996,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3441.9474999999957,Fat Joe,Preacher On A Sunday Morning,hip hop,0.6669323712356535,Calvin Harris,Ready For The Weekend,electronic,0.6648010039503683,KATAKLYSM,Beyond Salvation,metal,0.6619949063669037,Fat Joe,Preacher On A Sunday Morning,hip hop,0.6782620363865318,Calvin Harris,Ready For The Weekend,electronic,0.6750246601106777,KATAKLYSM,Beyond Salvation,metal,0.6703596100206974
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,Lauryn Hill,Interlude 5,r&b/soul,5557.0,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,4567.0,Erykah Badu,I Want You,r&b/soul,4088.0,Lauryn Hill,Interlude 5,r&b/soul,5091.480000000005,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,4177.69625,Erykah Badu,I Want You,r&b/soul,3916.9087499999914,The Derek Trucks Band,All I Do,blues,0.6579208891618389,Avalon,Overjoyed,pop,0.6397699791344678,Billie Piper,Day And Night,pop,0.6306836382560365,The Derek Trucks Band,All I Do,blues,0.667718031491555,Avalon,Overjoyed,pop,0.6534939234987447,Billie Piper,Day And Night,pop,0.6430239888722205
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,Lauryn Hill,Interlude 5,r&b/soul,6673.0,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,5569.0,Twista,I'm A Winner (Amended Album Version),hip hop,5237.0,Lauryn Hill,Interlude 5,r&b/soul,6074.999999999985,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,5068.906250000016,Twista,I'm A Winner (Amended Album Version),hip hop,4846.187500000002,Blues Traveler,Hook,blues,0.7430112475755696,G-Unit,I Don't Want To Talk About It,hip hop,0.742834840746948,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,0.7416846726916942,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,0.758552189169887,Blues Traveler,Hook,blues,0.756381455883275,G-Unit,I Don't Want To Talk About It,hip hop,0.7561220426091677
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,Lauryn Hill,Interlude 5,r&b/soul,8789.0,Twista,I'm A Winner (Amended Album Version),hip hop,7434.0,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,7016.0,Lauryn Hill,Interlude 5,r&b/soul,8073.240000000012,Twista,I'm A Winner (Amended Album Version),hip hop,6966.227499999987,Erykah Badu,I Want You,r&b/soul,6740.938749999978,Albert Hammond Jr,G Up,rock,0.8027120628514688,Anastacia,Club Megamix,rock,0.7988456432230557,Blues Traveler,Hook,blues,0.7916165377099591,Albert Hammond Jr,G Up,rock,0.8100800277820065,Anastacia,Club Megamix,rock,0.8097786208426687,Blues Traveler,Hook,blues,0.8019385595698869
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,Lauryn Hill,Interlude 5,r&b/soul,2328.0,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2215.0,Eminem,8 Mile,hip hop,1918.0,Lauryn Hill,Interlude 5,r&b/soul,2088.799999999999,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2014.9625000000015,Eminem,8 Mile,hip hop,1767.0374999999995,Manafest,Runaway,hip hop,0.703824987969548,The Cat Empire,The Car Song,reggae,0.694910918998232,Ballboy,I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,pop,0.6864159482424174,Manafest,Runaway,hip hop,0.7156599537949512,The Cat Empire,The Car Song,reggae,0.7093541132995728,Ballboy,I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,pop,0.7006955849653108
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,Lauryn Hill,Interlude 5,r&b/soul,1913.0,Twista,I'm A Winner (Amended Album Version),hip hop,1790.0,Michael Jackson,Man In The Mirror,pop,1585.0,Lauryn Hill,Interlude 5,r&b/soul,1751.0799999999997,Twista,I'm A Winner (Amended Album Version),hip hop,1684.1800000000017,Michael Jackson,Man In The Mirror,pop,1446.1800000000019,Warrant,Bad Tattoo,metal,0.6446113692397293,Doyle Bramhall,Dimples,jazz,0.6116015460079236,Ayo,Only You,r&b/soul,0.6044967567223934,Warrant,Bad Tattoo,metal,0.6552596777324119,Doyle Bramhall,Dimples,jazz,0.6187185674368255,Ayo,Only You,r&b/soul,0.6164341452711488
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,Lauryn Hill,Interlude 5,r&b/soul,1486.0,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1480.0,R. Kelly,I Mean (I Don't Mean It),r&b/soul,1471.0,R. Kelly,I Mean (I Don't Mean It),r&b/soul,1418.0450000000044,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1375.3649999999989,Kandi,I Wanna Know,r&b/soul,1369.0600000000056,Johnny Cash,I Don't Know Where I'm Bound,country,0.7786412276587289,LMFAO,I Am Not A Whore,electronic,0.7519388605715477,Sneaky Sound System,16,pop,0.7472018993356717,Johnny Cash,I Don't Know Where I'm Bound,country,0.7834660807446496,LMFAO,I Am Not A Whore,electronic,0.7553117160686514,Sneaky Sound System,16,pop,0.7532525144739896
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,Lauryn Hill,Interlude 5,r&b/soul,2681.0,Twista,I'm A Winner (Amended Album Version),hip hop,1936.0,Michael Jackson,Man In The Mirror,pop,1542.0,Lauryn Hill,Interlude 5,r&b/soul,2362.679999999999,Twista,I'm A Winner (Amended Album Version),hip hop,1727.9675000000007,Eminem,My Darling,hip hop,1312.1587500000005,Brandy,Give Me You,r&b/soul,0.4733953967025422,Leonard Cohen,The Stranger Song,folk,0.47191782769568896,Athlete,New Project,rock,0.470474472286763,Leonard Cohen,The Stranger Song,folk,0.4971205446381256,Brandy,Give Me You,r&b/soul,0.4888152706435525,Athlete,New Project,rock,0.4878990560684231
